team,conference,budget_min_m,budget_max_m,budget_mid_m,wins_2025,losses_2025,conf_wins_2025,conf_losses_2025,wins_2026,losses_2026,dollars_per_win_2025_mid_m,dollars_per_win_2026_mid_m,expected_wins_2025,wins_above_expected_2025,notes,cfbd_team,recruit_rank_2022,recruit_points_2022,recruit_rank_2023,recruit_points_2023,recruit_rank_2024,recruit_points_2024,recruit_rank_2025,recruit_points_2025,recruit_rank_2026,recruit_points_2026,recruit_rank_avg_2022_2025,recruit_points_avg_2022_2025,sp_rating_2025,sp_rank_2025,sp_offense_2025,sp_defense_2025,sp_rating_2026,sp_rank_2026,sp_offense_2026,sp_defense_2026,fpi_2025,fpi_rank_2025,fpi_2026,fpi_rank_2026,draft_picks_2024,draft_r1_2024,draft_picks_2025,draft_r1_2025,draft_picks_2026,draft_r1_2026,wins_per_recruit_point_2025,recruit_points_per_win_2025,budget_per_recruit_point_m,kn_institution,kn_url,kn_has_mfrs,kn_fy,kn_total_rev,kn_total_rev_m,kn_total_exp,kn_total_exp_m,kn_ticket_sales,kn_ticket_sales_m,kn_donations,kn_donations_m,kn_media_conference,kn_media_conference_m,kn_corp_sponsorship,kn_corp_sponsorship_m,kn_institutional_support,kn_institutional_support_m,kn_student_fees,kn_student_fees_m,kn_football_spending,kn_football_spending_m,kn_coaches_comp,kn_coaches_comp_m,kn_athlete_scholarships,kn_athlete_scholarships_m,kn_nil_rev_share_line44,kn_nil_rev_share_line44_m,kn_recruiting_exp,kn_recruiting_exp_m,kn_roster_budget_mid_m,kn_roster_as_pct_of_football_spend,kn_roster_as_pct_of_total_rev,portal_2025_transfers_in,portal_2025_avg_rating,portal_2025_star_points,portal_2025_stars_4,portal_2025_stars_5,portal_2025_rank_star_points,portal_2025_rank_avg_rating,portal_2025_rank_volume,portal_2026_transfers_in,portal_2026_avg_rating,portal_2026_star_points,portal_2026_stars_4,portal_2026_stars_5,portal_2026_rank_star_points,portal_2026_rank_avg_rating,portal_2026_rank_volume,portal_2025_rank_in_p4,portal_2026_rank_in_p4,portal_vs_hs_rank_gap_2025,on3_portal_rank_2026,on3_index_2026,on3_transfers_in_2026,on3_avg_rating_in_2026,on3_transfers_out_2026,on3_stars_4_2026,on3_stars_5_2026,247_portal_rank_2026,247_portal_points_2026,247_transfers_in_2026
Purdue,Big Ten,16.0,20.0,18.0,2,10,0,9,1,1,9.0,18.0,6.017,-4.017,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $18.0M,Purdue,38,206.4,68,179.36,29,217.71,99,147.08,55,203.29,58.5,187.64,-6.1,90,21.9,29.9,-1.2,77,25.6,27.5,-4.748,64,-0.444,62,2,0,1,0,0,0,0.0136,73.54,0.1224,Purdue University,https://knightnewhousedata.org/fbs/big-ten/purdue-university,true,2025,150536320,150.536,149650825,149.651,23576258,23.576,27693151,27.693,77715906,77.716,9176973,9.177,0,0.000,0,0.000,37193229,37.193,28043074,28.043,20213765,20.214,0,0.000,2924097,2.924,18.0,48.40,11.96,51,0.8539,147,0,0,3,70,4,29,0.8579,85,1,0,32,57,32,2,22,97.0,23,14,29,65.10,19,0,0,48,20.08,29
Stanford,ACC,16.0,20.0,18.0,4,8,3,5,1,1,4.5,18.0,6.017,-2.017,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $18.0M,Stanford,19,229.74,46,200.94,30,217.17,56,196.58,37,218.95,37.75,211.11,-11.8,112,18.4,28.6,-3.9,82,22.3,25.7,-3.652,62,-4.906,67,1,0,1,0,2,0,0.02035,49.15,0.0916,Stanford University,https://knightnewhousedata.org/fbs/acc/stanford-university,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,17,0.8524,51,0,0,86,72,91,6,0.8517,18,0,0,142,71,143,42,68,14.0,38,4,6,65.83,10,1,0,130,7.83,6
Wake Forest,ACC,16.0,20.0,18.0,9,4,4,4,2,0,2.0,9.0,6.017,2.983,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $18.0M,Wake Forest,71,164.19,53,193.23,52,196.48,63,189.05,39,217.86,59.75,185.74,5.7,52,26.6,20.9,3.4,62,25.3,22,2.069,52,4.105,51,3,0,0,0,2,0,0.04761,21.01,0.0952,Wake Forest University,https://knightnewhousedata.org/fbs/acc/wake-forest-university,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,33,0.8544,97,1,0,14,66,21,24,0.8538,72,0,0,44,64,50,8,28,55.0,50,-9,24,63.67,15,0,0,66,13.22,24
UCF,Big 12,15.0,20.0,17.5,5,7,2,7,1,1,3.5,17.5,5.941,-0.941,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $17.5M,UCF,53,186.37,50,196.98,35,212.83,79,171.17,66,194.3,54.25,191.84,-1.2,76,23.2,24,5.6,53,25.4,19.7,-0.768,56,4.697,47,2,0,2,0,1,1,0.02921,34.23,0.1022,University of Central Florida,https://knightnewhousedata.org/fbs/big-12/university-central-florida,true,2025,108885089,108.885,103615446,103.615,8371974,8.372,27906716,27.907,20865983,20.866,13883426,13.883,13155214,13.155,23675952,23.676,38695139,38.695,19235338,19.235,15711017,15.711,0,0.000,2226660,2.227,17.5,45.23,16.07,38,0.855,107,2,0,9,64,10,32,0.8504,90,0,0,25,75,23,5,18,74.0,46,-2,32,63.59,34,0,0,63,13.79,32
Houston,Big 12,15.0,19.0,17.0,10,3,6,3,2,0,1.7,8.5,5.864,4.136,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $17.0M,Houston,50,187.64,55,191.97,60,184,52,198.73,38,218.85,54.25,190.58,7.4,40,31.5,23,11.6,31,33.1,21.2,4.408,45,9.181,33,1,0,0,0,1,0,0.05032,19.87,0.0855,University of Houston,https://knightnewhousedata.org/fbs/big-12/university-houston,true,2025,92759096,92.759,98864678,98.865,7634760,7.635,15624294,15.624,18478012,18.478,6447110,6.447,33036328,33.036,8135241,8.135,26412924,26.413,21243605,21.244,14732880,14.733,0,0.000,1500406,1.500,17.0,64.36,18.33,28,0.8604,77,2,0,37,44,37,18,0.8587,51,0,0,85,52,87,19,50,33.0,6,41,20,70.90,16,4,0,50,19.26,19
Oklahoma St.,Big 12,15.0,19.0,17.0,1,11,0,9,1,1,17.0,17.0,5.864,-4.864,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $17.0M,Oklahoma State,29,217.39,54,193.19,56,189.96,53,198.62,69,190.27,48,199.79,-15.1,121,15.2,31.6,6.7,50,29.6,23.4,-12.121,68,2.991,53,0,0,4,0,0,0,0.00503,198.62,0.0856,Oklahoma State University,https://knightnewhousedata.org/fbs/big-12/oklahoma-state-university,true,2025,150779379,150.779,156061076,156.061,11779505,11.780,78077576,78.078,47515136,47.515,7169416,7.169,0,0.000,87500,0.087,32830617,32.831,29588415,29.588,14340330,14.340,16001855,16.002,2453087,2.453,17.0,51.78,11.27,40,0.8572,108,0,0,8,58,7,55,0.8614,159,4,1,1,39,1,4,1,49.0,22,14,56,66.02,66,3,0,15,42.42,54
Kansas,Big 12,15.0,17.0,16.0,5,7,3,6,1,1,3.2,16.0,5.711,-0.711,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $16.0M,Kansas,116,106.28,73,169.88,43,203,72,178.35,61,196.96,76,164.38,4.1,58,30.9,28.5,4.7,55,29.5,25.4,4.37,46,0.861,60,2,0,2,0,2,0,0.02803,35.67,0.0897,University of Kansas,https://knightnewhousedata.org/fbs/big-12/university-kansas,true,2025,143856096,143.856,148361190,148.361,26751470,26.751,43525195,43.525,48054405,48.054,12147484,12.147,1892752,1.893,0,0.000,34516494,34.516,33069745,33.070,20036083,20.036,0,0.000,2440879,2.441,16.0,46.35,11.12,27,0.854,78,0,0,36,69,38,31,0.8562,92,0,0,24,60,28,18,17,54.0,52,-11,31,62.68,25,0,0,53,18.14,31
Arizona,Big 12,13.0,18.0,15.5,9,4,7,3,1,1,1.7222,15.5,5.635,3.365,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $15.5M,Arizona,22,224.38,40,204.72,85,162.29,50,200.65,42,216.67,49.25,198.01,12,28,33,19.5,10.3,34,31.5,20.7,10.097,27,6.02,42,3,1,4,1,4,0,0.04485,22.29,0.0772,University of Arizona,https://knightnewhousedata.org/fbs/big-12/university-arizona,true,2025,143291388,143.291,142907872,142.908,23137352,23.137,33978017,33.978,37837493,37.837,5639702,5.640,31382738,31.383,3172565,3.173,39897621,39.898,29406124,29.406,25152233,25.152,0,0.000,3399514,3.400,15.5,38.85,10.82,30,0.8545,89,0,0,24,65,28,22,0.8586,64,1,0,54,53,58,13,33,37.0,27,11,23,64.96,21,0,0,49,19.42,23
Cincinnati,Big 12,14.0,16.0,15.0,7,6,5,4,2,0,2.1429,7.5,5.559,1.441,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $15.0M,Cincinnati,42,197.75,75,167.89,51,196.87,61,189.52,58,199.89,57.25,188.01,4.5,56,30.2,26.4,7.6,45,31.2,23.9,3.683,47,8.641,34,1,0,1,0,4,0,0.03694,27.07,0.0791,University of Cincinnati,https://knightnewhousedata.org/fbs/big-12/university-cincinnati,true,2025,118516168,118.516,119327107,119.327,12789585,12.790,17663080,17.663,20634363,20.634,6831880,6.832,51740793,51.741,0,0.000,30199813,30.200,18689891,18.690,15512234,15.512,0,0.000,1999977,2.000,15.0,49.67,12.66,20,0.8553,60,1,0,64,63,73,23,0.8585,66,1,0,52,54,55,32,32,29.0,51,-9,23,62.26,19,0,0,41,23.88,23
Iowa State,Big 12,13.0,17.0,15.0,8,4,5,4,1,1,1.875,15.0,5.559,2.441,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $15.0M,Iowa State,39,205.08,42,204.14,53,192.29,54,197.45,54,203.31,47,199.74,9.9,33,28.1,19.5,3.5,60,23.9,20.8,8.627,33,0.762,61,1,0,4,0,1,0,0.04052,24.68,0.076,Iowa State University,https://knightnewhousedata.org/fbs/big-12/iowa-state-university,true,2025,117990108,117.990,117984063,117.984,23693203,23.693,29359925,29.360,47338529,47.339,2281324,2.281,0,0.000,1819397,1.819,33289781,33.290,24320087,24.320,15199376,15.199,0,0.000,1457184,1.457,15.0,45.06,12.71,8,0.8637,25,1,0,137,33,148,48,0.8514,140,0,0,5,72,5,64,3,-10.0,68,-60,50,64.30,54,1,0,67,13.20,48
Duke,ACC,12.0,15.0,13.5,9,5,6,2,2,0,1.5,6.75,5.329,3.671,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $13.5M,Duke,52,186.78,56,191.8,61,183.9,30,220.94,71,189.26,49.75,195.86,6.6,44,34.8,29.2,6.9,48,32.5,26,6.398,40,6.584,39,3,1,0,0,3,0,0.04074,24.55,0.0611,Duke University,https://knightnewhousedata.org/fbs/acc/duke-university,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,,,9,0.8578,28,1,0,129,56,142,19,0.8563,57,0,0,70,59,80,62,41,-32.0,66,-29,20,62.85,17,1,0,62,13.89,19
Boston College,ACC,8.0,13.0,10.5,2,10,1,7,1,1,5.25,10.5,4.871,-2.871,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $10.5M,Boston College,40,202.55,61,185.3,95,153.23,59,195.09,53,204.06,63.75,184.04,-8.5,97,23.3,33.1,-3.3,81,24.2,27.9,-5.231,65,-3.875,66,2,0,3,0,4,0,0.01025,97.55,0.0538,Boston College,https://knightnewhousedata.org/fbs/acc/boston-college,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,,15,0.8521,45,0,0,99,73,105,26,0.8528,77,0,0,39,66,45,50,23,9.0,59,-18,27,64.52,29,0,0,60,14.17,26
