team,conference,budget_min_m,budget_max_m,budget_mid_m,wins_2025,losses_2025,conf_wins_2025,conf_losses_2025,wins_2026,losses_2026,dollars_per_win_2025_mid_m,dollars_per_win_2026_mid_m,expected_wins_2025,wins_above_expected_2025,notes,cfbd_team,recruit_rank_2022,recruit_points_2022,recruit_rank_2023,recruit_points_2023,recruit_rank_2024,recruit_points_2024,recruit_rank_2025,recruit_points_2025,recruit_rank_2026,recruit_points_2026,recruit_rank_avg_2022_2025,recruit_points_avg_2022_2025,sp_rating_2025,sp_rank_2025,sp_offense_2025,sp_defense_2025,sp_rating_2026,sp_rank_2026,sp_offense_2026,sp_defense_2026,fpi_2025,fpi_rank_2025,fpi_2026,fpi_rank_2026,draft_picks_2024,draft_r1_2024,draft_picks_2025,draft_r1_2025,draft_picks_2026,draft_r1_2026,wins_per_recruit_point_2025,recruit_points_per_win_2025,budget_per_recruit_point_m,kn_institution,kn_url,kn_has_mfrs,kn_fy,kn_total_rev,kn_total_rev_m,kn_total_exp,kn_total_exp_m,kn_ticket_sales,kn_ticket_sales_m,kn_donations,kn_donations_m,kn_media_conference,kn_media_conference_m,kn_corp_sponsorship,kn_corp_sponsorship_m,kn_institutional_support,kn_institutional_support_m,kn_student_fees,kn_student_fees_m,kn_football_spending,kn_football_spending_m,kn_coaches_comp,kn_coaches_comp_m,kn_athlete_scholarships,kn_athlete_scholarships_m,kn_nil_rev_share_line44,kn_nil_rev_share_line44_m,kn_recruiting_exp,kn_recruiting_exp_m,kn_roster_budget_mid_m,kn_roster_as_pct_of_football_spend,kn_roster_as_pct_of_total_rev,portal_2025_transfers_in,portal_2025_avg_rating,portal_2025_star_points,portal_2025_stars_4,portal_2025_stars_5,portal_2025_rank_star_points,portal_2025_rank_avg_rating,portal_2025_rank_volume,portal_2026_transfers_in,portal_2026_avg_rating,portal_2026_star_points,portal_2026_stars_4,portal_2026_stars_5,portal_2026_rank_star_points,portal_2026_rank_avg_rating,portal_2026_rank_volume,portal_2025_rank_in_p4,portal_2026_rank_in_p4,portal_vs_hs_rank_gap_2025,on3_portal_rank_2026,on3_index_2026,on3_transfers_in_2026,on3_avg_rating_in_2026,on3_transfers_out_2026,on3_stars_4_2026,on3_stars_5_2026,247_portal_rank_2026,247_portal_points_2026,247_transfers_in_2026
Ohio State,Big Ten,49.0,54.0,51.5,12,2,9,0,1,1,4.2917,51.5,11.137,0.863,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $51.5M,Ohio State,4,300.95,5,288.98,5,289.13,4,297.72,4,301.23,4.5,294.19,30.1,2,37.6,7.7,29.2,2,39.5,10.3,27.617,2,30.42,1,4,1,14,4,11,4,0.04031,24.81,0.173,The Ohio State University,https://knightnewhousedata.org/fbs/big-ten/ohio-state-university,true,2025,336077887,336.078,320661665,320.662,81650892,81.651,68955032,68.955,97839402,97.839,42770263,42.770,112280,0.112,0,0.000,92359308,92.359,59837678,59.838,36804912,36.805,0,0.000,4110006,4.110,51.5,55.76,15.32,11,0.8856,31,4,0,122,5,130,17,0.8869,54,6,0,76,7,91,60,44,-56.0,58,-17,17,70.41,32,3,0,7,50.26,17
Oregon,Big Ten,48.0,54.0,51.0,13,2,8,1,1,1,3.9231,51.0,11.061,1.939,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $51.0M,Oregon,13,243.37,9,278.44,3,293.22,5,296.1,3,303.22,7.5,277.78,25.9,4,38.7,13.5,22.9,9,38.6,16,23.872,4,17.062,13,8,1,10,2,7,2,0.0439,22.78,0.1722,University of Oregon,https://knightnewhousedata.org/fbs/big-ten/university-oregon,true,2025,185420904,185.421,182702378,182.702,34920016,34.920,33164614,33.165,69211336,69.211,26607027,26.607,589167,0.589,0,0.000,60847474,60.847,44190509,44.191,22461556,22.462,0,0.000,3482608,3.483,51.0,83.82,27.50,11,0.903,40,8,0,110,1,126,13,0.885,39,3,0,114,8,119,54,59,-49.0,36,5,16,73.06,30,5,0,21,37.91,15
Texas,SEC,45.0,55.0,50.0,10,3,6,2,2,0,5.0,25.0,10.908,-0.908,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $50.0M,Texas,5,289.04,3,306.31,6,286.92,1,312.27,7,291.18,3.75,298.63,16.2,17,32.9,17.9,25,6,38.7,14.2,18.576,11,30.109,2,11,2,12,3,6,0,0.03202,31.23,0.1601,University of Texas at Austin,https://knightnewhousedata.org/fbs/sec/university-texas-austin,true,2025,352547602,352.548,379284528,379.285,70984006,70.984,171165773,171.166,33603713,33.604,51956322,51.956,0,0.000,0,0.000,73881569,73.882,57050284,57.050,22614579,22.615,3235078,3.235,5785192,5.785,50.0,67.68,14.18,11,0.88,33,3,0,119,8,129,22,0.8879,70,7,1,45,4,57,58,29,-57.0,9,30,22,74.64,23,5,1,3,60.14,22
LSU,SEC,47.0,50.0,48.5,7,6,3,5,2,0,6.9286,24.25,10.679,-3.679,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $48.5M,LSU,12,245.76,6,288.7,7,278.75,10,281.53,11,272.69,8.75,273.69,10.3,32,25.8,16.1,24.1,8,34.8,10.9,10.712,25,22.594,9,6,3,7,1,7,1,0.02486,40.22,0.1723,Louisiana State University,https://knightnewhousedata.org/fbs/sec/louisiana-state-university,true,2025,223457267,223.457,223429203,223.429,53627722,53.628,68683969,68.684,75445962,75.446,5056844,5.057,0,0.000,0,0.000,50738588,50.739,46785903,46.786,22921939,22.922,0,0.000,5263296,5.263,48.5,95.59,21.70,18,0.8994,65,11,0,52,2,82,44,0.8878,147,15,3,3,5,6,27,2,-17.0,2,46,43,72.93,34,10,2,1,81.58,44
Texas A&M,SEC,45.0,50.0,47.5,11,2,7,1,2,0,4.3182,23.75,10.526,0.474,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $47.5M,Texas A&M,1,333.13,15,268.85,19,245.18,9,282.42,10,283.13,11,282.39,20.7,9,38,16.4,24.2,7,39.3,14.9,18.374,12,23.071,8,4,0,3,1,10,1,0.03895,25.67,0.1682,Texas A & M University,https://knightnewhousedata.org/fbs/sec/texas-m-university,true,2025,235547242,235.547,228350501,228.351,64340883,64.341,50063114,50.063,65694643,65.695,30337025,30.337,4995734,4.996,0,0.000,60230147,60.230,38240141,38.240,21127555,21.128,0,0.000,4898792,4.899,47.5,78.86,20.17,13,0.8831,44,5,0,100,7,112,19,0.8794,58,4,0,64,11,77,51,37,-42.0,3,45,19,75.58,13,6,0,12,44.10,19
Miami,ACC,44.0,50.0,47.0,13,3,6,2,2,0,3.6154,23.5,10.45,2.55,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $47.0M,Miami,16,235.03,7,284.64,4,291.54,13,257.66,9,284.61,10,267.22,20.7,9,34.2,14.3,25.6,4,37.2,11.9,22.396,5,25.741,5,4,0,7,1,9,3,0.05045,19.82,0.1824,University of Miami (Florida),https://knightnewhousedata.org/fbs/acc/university-miami-florida,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,18,0.8929,59,8,0,65,3,83,12,0.8967,43,7,0,103,2,124,33,56,-20.0,12,26,13,74.92,19,5,0,5,52.14,13
Notre Dame,Independent,41.0,48.0,44.5,10,2,,,2,0,4.45,22.25,10.068,-0.068,Independent: no conference W-L; 2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $44.5M,Notre Dame,7,275.44,12,272.74,9,275.57,12,270.22,5,299.28,10,273.49,24.4,5,40,16.3,29,3,41.7,13,25.279,3,27.901,3,7,1,6,0,6,2,0.03701,27.02,0.1647,University of Notre Dame,https://knightnewhousedata.org/fbs/ind/university-notre-dame,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,,,8,0.87,22,1,0,145,20,150,7,0.9271,28,7,0,133,1,139,66,66,-54.0,8,32,7,88.00,16,4,0,11,44.53,7
Tennessee,SEC,41.0,43.0,42.0,8,5,4,4,2,0,5.25,21.0,9.685,-1.685,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $42.0M,Tennessee,18,232.77,10,277,14,267.26,11,277.93,8,290.71,13.25,263.74,15,19,39.3,25.4,20.2,11,40.9,21.1,14.31,19,17.866,11,3,0,4,1,5,0,0.02878,34.74,0.1511,The University of Tennessee,https://knightnewhousedata.org/fbs/sec/university-tennessee,true,2025,304117549,304.118,288186290,288.186,52163720,52.164,113589853,113.590,66036392,66.036,33004839,33.005,7137633,7.138,1000000,1.000,74017787,74.018,45631967,45.632,32164244,32.164,0,0.000,7699885,7.700,42.0,56.74,13.81,7,0.8657,22,1,0,149,27,163,21,0.8695,60,1,1,59,22,63,67,35,-56.0,45,-2,22,70.00,23,2,0,26,34.23,21
Ole Miss,SEC,39.0,45.0,42.0,13,2,7,1,2,0,3.2308,21.0,9.685,3.315,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $42.0M,Ole Miss,23,222.38,23,227.96,21,240.2,16,251.63,22,236.72,20.75,235.54,24,7,40.4,18.3,15.2,20,35.4,20.8,19.342,9,15.47,17,3,0,8,2,2,0,0.05166,19.36,0.1669,University of Mississippi,https://knightnewhousedata.org/fbs/sec/university-mississippi,true,2025,178621017,178.621,183768038,183.768,26582195,26.582,49849610,49.850,72796009,72.796,12457220,12.457,5734050,5.734,0,0.000,61881227,61.881,39891719,39.892,17701731,17.702,0,0.000,3295395,3.295,42.0,67.87,23.51,28,0.8768,92,8,0,21,13,36,28,0.8839,94,10,0,22,9,35,11,14,5.0,29,10,30,73.33,23,3,0,2,60.76,29
Alabama,SEC,38.0,42.0,40.0,11,4,7,1,2,0,3.6364,20.0,9.38,1.62,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $40.0M,Alabama,2,322.25,1,328,2,310.75,3,298.4,2,303.79,2,314.85,14.8,20,32.2,16.1,21.2,10,33.5,11.9,19.012,10,23.24,7,10,3,7,2,10,2,0.03686,27.13,0.134,University of Alabama,https://knightnewhousedata.org/fbs/sec/university-alabama,true,2025,267435520,267.436,234739406,234.739,49107903,49.108,67428250,67.428,80066615,80.067,17233822,17.234,29988389,29.988,0,0.000,82859480,82.859,44103588,44.104,27387926,27.388,0,0.000,6162081,6.162,40.0,48.27,14.96,11,0.8791,37,4,0,112,10,127,17,0.8812,56,5,0,71,10,90,56,42,-53.0,33,6,19,70.84,23,1,0,18,40.53,20
Texas Tech,Big 12,38.0,42.0,40.0,12,2,8,1,2,0,3.3333,20.0,9.38,2.62,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $40.0M,Texas Tech,43,197.4,28,222.02,25,236.09,48,201.51,18,250.26,36,214.25,27.6,3,39.3,12.3,19.1,15,35.4,16.5,21.536,6,16.068,16,2,0,2,0,9,1,0.05955,16.79,0.1985,Texas Tech University,https://knightnewhousedata.org/fbs/big-12/texas-tech-university,true,2025,145302530,145.303,144420153,144.420,19519593,19.520,42870259,42.870,39809826,39.810,20209486,20.209,14792073,14.792,0,0.000,51314926,51.315,28369666,28.370,11257219,11.257,0,0.000,2950059,2.950,40.0,77.95,27.53,21,0.8876,72,9,0,40,4,61,23,0.874,69,4,1,50,15,54,21,30,27.0,5,42,23,70.44,21,5,0,6,51.39,23
USC,Big Ten,37.0,40.0,38.5,9,4,7,2,3,0,4.2778,12.8333,9.15,-0.15,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $38.5M,USC,70,165.48,8,280.44,17,253.78,14,257.02,1,310.67,27.25,239.18,16.9,16,38.9,21,19.5,12,39.3,19.5,17.962,13,18.452,10,7,1,3,0,3,1,0.03502,28.56,0.1498,University of Southern California,https://knightnewhousedata.org/fbs/pac-12/university-southern-california,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,,,15,0.8713,49,4,0,90,17,103,9,0.8787,27,3,0,135,12,137,45,67,-31.0,47,-5,10,73.50,21,2,0,29,31.85,11
Indiana,Big Ten,36.0,40.0,38.0,16,0,9,0,2,0,2.375,19.0,9.074,6.926,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $38.0M,Indiana,26,219.8,69,177.6,65,179.89,47,201.75,29,226.46,51.75,194.76,32.4,1,40.8,9.9,25.4,5,38.1,13.2,31.487,1,25.313,6,0,0,2,0,8,2,0.07931,12.61,0.1884,"Indiana University, Bloomington",https://knightnewhousedata.org/fbs/big-ten/indiana-university-bloomington,true,2025,183432522,183.433,173020646,173.021,29573521,29.574,26431033,26.431,80626363,80.626,11283870,11.284,27946488,27.946,0,0.000,50710163,50.710,38154517,38.155,23776624,23.777,0,0.000,2598898,2.599,38.0,74.94,20.72,23,0.8638,65,2,0,51,32,54,17,0.8873,50,5,0,87,6,95,28,51,19.0,1,53,17,76.00,11,5,0,8,48.15,17
Michigan,Big Ten,36.0,40.0,38.0,9,4,7,2,2,0,4.2222,19.0,9.074,-0.074,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $38.0M,Michigan,9,262.13,17,245.13,16,261.94,6,290.87,12,270.12,12,265.02,12.4,25,30.9,17,13.8,25,30.4,16.1,14.243,20,14.449,22,13,1,7,3,6,0,0.03094,32.32,0.1306,University of Michigan,https://knightnewhousedata.org/fbs/big-ten/university-michigan,true,2025,275844115,275.844,269554079,269.554,75862287,75.862,50362101,50.362,80622683,80.623,35556501,35.557,240332,0.240,0,0.000,61663185,61.663,40544115,40.544,42819401,42.819,0,0.000,6105020,6.105,38.0,61.63,13.78,17,0.8612,50,2,0,87,43,92,17,0.8786,52,4,0,80,13,92,43,46,-37.0,65,-25,18,68.17,25,3,0,24,36.01,17
Florida,SEC,31.0,41.0,36.0,4,8,2,6,2,0,9.0,18.0,8.768,-4.768,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $36.0M,Florida,17,232.99,13,271.43,13,268.25,7,287.77,17,250.98,12.5,265.11,3.5,63,24.5,22.6,19.4,13,33.4,14.5,8.194,35,16.215,15,1,1,7,0,7,1,0.0139,71.94,0.1251,University of Florida,https://knightnewhousedata.org/fbs/sec/university-florida,true,2025,221065538,221.066,200999975,201.000,47698979,47.699,53495667,53.496,76762166,76.762,10958032,10.958,8760154,8.760,2571952,2.572,52016013,52.016,38315651,38.316,22887598,22.888,0,0.000,4400799,4.401,36.0,69.21,16.28,8,0.8543,24,0,0,140,67,149,27,0.8625,73,1,0,43,37,42,65,27,-58.0,24,13,28,68.68,30,5,0,30,30.80,29
South Carolina,SEC,32.0,35.0,33.5,4,8,1,7,2,0,8.375,16.75,8.386,-4.386,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $33.5M,South Carolina,25,220.16,16,256.14,22,239.75,18,244.27,14,256.43,20.25,240.08,5.9,49,24.6,20.2,16.9,17,32.6,16.1,8.965,32,14.691,21,4,1,5,0,3,0,0.01638,61.07,0.1371,University of South Carolina,https://knightnewhousedata.org/fbs/sec/university-south-carolina,true,2025,204566524,204.567,203259302,203.259,33353886,33.354,18285009,18.285,65809483,65.809,10684070,10.684,43704106,43.704,0,0.000,55859501,55.860,41421355,41.421,25574628,25.575,0,0.000,3460819,3.461,33.5,59.97,16.38,18,0.8772,59,5,0,66,12,84,27,0.8658,76,2,0,40,29,40,34,24,-16.0,28,10,29,65.72,20,1,1,19,40.09,27
Auburn,SEC,31.0,35.0,33.0,5,7,1,7,2,0,6.6,16.5,8.31,-3.31,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $33.0M,Auburn,21,229.35,18,242.9,10,275.39,8,286.89,31,225.99,14.25,258.63,11.6,29,28.3,17.4,11.7,30,28.2,16.8,11.083,24,14.177,23,5,0,3,0,5,1,0.01743,57.38,0.115,Auburn University,https://knightnewhousedata.org/fbs/sec/auburn-university,true,2025,205928767,205.929,203847233,203.847,35140207,35.140,59660872,59.661,70544455,70.544,9667454,9.667,5023187,5.023,7318752,7.319,59371873,59.372,38314335,38.314,25198527,25.199,0,0.000,4451401,4.451,33.0,55.58,16.02,21,0.8755,68,6,0,45,14,62,39,0.8692,121,4,0,10,23,11,23,7,-15.0,48,-6,40,70.97,36,4,0,9,47.75,40
Nebraska,Big Ten,31.0,35.0,33.0,7,6,4,5,2,0,4.7143,16.5,8.31,-1.31,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $33.0M,Nebraska,41,198.64,25,224.12,18,247.5,22,237.53,88,182.28,26.5,226.95,6.2,46,28.8,22.7,13,27,32.7,19.7,5.45,42,14.803,20,0,0,2,0,1,0,0.02947,33.93,0.1389,University of Nebraska-Lincoln,https://knightnewhousedata.org/fbs/big-ten/university-nebraska-lincoln,true,2025,215089007,215.089,212743888,212.744,40677611,40.678,48407981,48.408,93350900,93.351,17941341,17.941,0,0.000,0,0.000,72691842,72.692,36775334,36.775,27481344,27.481,0,0.000,3172140,3.172,33.0,45.40,15.34,15,0.8727,50,6,0,88,16,102,17,0.865,52,1,0,81,32,93,44,47,-22.0,32,7,16,66.88,17,1,0,31,28.58,17
Georgia,SEC,31.0,34.0,32.5,12,2,7,1,2,0,2.7083,16.25,8.233,3.767,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $32.5M,Georgia,3,318.34,2,315.68,1,317.05,2,304.64,6,291.98,2,313.93,24.1,6,37,14.8,29.3,1,40.8,12.1,21.443,7,26.554,4,8,2,13,3,8,1,0.03939,25.39,0.1067,University of Georgia,https://knightnewhousedata.org/fbs/sec/university-georgia,true,2025,233526965,233.527,240263345,240.263,42141732,42.142,54249932,54.250,72871017,72.871,23506854,23.507,0,0.000,3871937,3.872,71107706,71.108,46622212,46.622,23104134,23.104,0,0.000,4979749,4.980,32.5,45.71,13.92,10,0.884,33,3,0,120,6,135,9,0.8922,31,4,0,125,3,135,59,64,-57.0,30,9,8,71.75,16,0,0,16,41.51,9
Oklahoma,SEC,28.0,34.0,31.0,10,3,6,2,1,1,3.1,31.0,8.004,1.996,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $31.0M,Oklahoma,8,266.73,4,289.03,8,275.64,17,248.6,15,252.55,9.25,270.0,18.3,14,30.1,12.9,19.2,14,31.9,13.1,15.944,15,17.84,12,3,1,2,0,7,0,0.04023,24.86,0.1247,University of Oklahoma,https://knightnewhousedata.org/fbs/sec/university-oklahoma,true,2025,205670266,205.670,254538960,254.539,54512302,54.512,98240268,98.240,16550441,16.550,19200045,19.200,0,0.000,0,0.000,63821802,63.822,41373989,41.374,26375277,26.375,0,0.000,6231259,6.231,31.0,48.57,15.07,20,0.8711,60,4,0,62,18,71,16,0.8719,52,4,0,83,16,101,30,48,-13.0,16,21,17,71.65,27,2,0,17,41.46,18
Clemson,ACC,29.0,32.0,30.5,7,6,4,4,1,1,4.3571,30.5,7.928,-0.928,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $30.5M,Clemson,10,260.87,11,273.39,11,272.19,26,227.23,20,243.28,14.5,258.42,9.5,34,27.5,18.9,8.1,40,27,19.2,9.454,29,5.336,45,6,1,3,0,9,2,0.03081,32.46,0.1342,Clemson University,https://knightnewhousedata.org/fbs/acc/clemson-university,true,2025,198578695,198.579,197684981,197.685,39128334,39.128,56185212,56.185,54140495,54.140,17906491,17.906,20180572,20.181,0,0.000,82950764,82.951,42796575,42.797,31937556,31.938,0,0.000,5081023,5.081,30.5,36.77,15.36,4,0.87,10,1,0,184,21,194,11,0.8582,33,0,0,124,56,129,68,62,-42.0,31,8,11,73.09,14,2,0,56,16.32,11
Penn State,Big Ten,29.0,32.0,30.5,7,6,3,6,2,0,4.3571,15.25,7.928,-0.928,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $30.5M,Penn State,6,278.66,14,270.1,15,265.61,15,255.36,65,194.39,12.5,267.43,18.1,15,35.1,18.8,17.7,16,34.1,17,15.929,16,16.447,14,8,2,5,2,8,1,0.02741,36.48,0.1194,Pennsylvania State University,https://knightnewhousedata.org/fbs/big-ten/pennsylvania-state-university,true,2025,254867598,254.868,254643919,254.644,50362976,50.363,64557754,64.558,89583248,89.583,25114673,25.115,0,0.000,0,0.000,89186987,89.187,48620564,48.621,31749106,31.749,18368391,18.368,4565666,4.566,30.5,34.20,11.97,8,0.8775,26,2,0,133,11,147,38,0.8695,116,5,0,12,20,12,63,8,-48.0,34,6,38,70.92,46,7,0,4,53.77,39
Wisconsin,Big Ten,27.0,31.0,29.0,4,8,2,7,1,1,7.25,29.0,7.698,-3.698,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $29.0M,Wisconsin,44,194.42,58,188.21,23,239.1,27,227.22,78,186.75,38,212.24,-4.4,85,17.4,20.9,1.9,66,21,18.8,2.537,51,2.57,54,2,0,2,0,0,0,0.0176,56.8,0.1276,University of Wisconsin-Madison,https://knightnewhousedata.org/fbs/big-ten/university-wisconsin-madison,true,2025,197927246,197.927,193630009,193.630,38384715,38.385,26219033,26.219,77920947,77.921,24757630,24.758,10421859,10.422,0,0.000,41495307,41.495,33193725,33.194,33606697,33.607,0,0.000,2366445,2.366,29.0,69.89,14.65,18,0.8661,56,2,0,74,25,85,33,0.8576,99,0,0,17,58,18,37,9,-10.0,14,22,33,67.82,23,1,0,38,25.78,33
Missouri,SEC,27.0,30.0,28.5,8,5,4,4,2,0,3.5625,14.25,7.622,0.378,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $28.5M,Missouri,15,236.92,34,211.13,20,241.93,20,243.48,34,225.09,22.25,233.37,14.4,21,31.2,15.4,15.1,21,32.3,16.8,13.078,22,12.33,26,6,1,3,1,6,0,0.03286,30.43,0.1171,"University of Missouri, Columbia",https://knightnewhousedata.org/fbs/sec/university-missouri-columbia,true,2025,181867534,181.868,191001201,191.001,23397607,23.398,46492009,46.492,61763342,61.763,10413788,10.414,28212444,28.212,0,0.000,49316139,49.316,33729956,33.730,20549087,20.549,0,0.000,3077285,3.077,28.5,57.79,15.67,21,0.87,67,3,1,48,19,63,30,0.8637,94,4,0,21,33,30,25,15,-5.0,49,-8,30,69.97,26,3,0,20,39.51,30
UCLA,Big Ten,26.0,30.0,28.0,3,9,3,6,2,0,9.3333,14.0,7.546,-4.546,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $28.0M,UCLA,61,175.37,37,206.15,90,157.07,46,202.28,62,196.57,58.5,185.22,-8.7,98,21.7,30.4,9.1,38,31,22,-2.444,59,7.036,37,2,1,5,0,0,0,0.01483,67.43,0.1384,"University of California, Los Angeles",https://knightnewhousedata.org/fbs/big-ten/university-california-los-angeles,true,2025,151797241,151.797,173429394,173.429,18313824,18.314,13478195,13.478,77263290,77.263,10589277,10.589,30060000,30.060,1000000,1.000,55205072,55.205,33018795,33.019,29314669,29.315,0,0.000,3500797,3.501,28.0,50.72,18.45,30,0.8614,88,0,1,26,42,29,43,0.8595,122,2,0,9,49,8,14,6,32.0,11,28,43,66.79,27,2,0,25,34.57,43
Mississippi St.,SEC,25.0,30.0,27.5,5,8,1,7,2,0,5.5,13.75,7.469,-2.469,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $27.5M,Mississippi State,27,219.45,27,222.92,28,223.21,28,224.62,23,230.56,27.5,222.55,4.1,58,31.6,29,10,36,33.7,24.2,3.389,49,12.159,27,3,0,0,0,2,0,0.02226,44.92,0.1224,Mississippi State University,https://knightnewhousedata.org/fbs/sec/mississippi-state-university,true,2025,164684369,164.684,168826109,168.826,18748277,18.748,59502873,59.503,62474494,62.474,14716195,14.716,0,0.000,0,0.000,37575576,37.576,27406081,27.406,17266638,17.267,0,0.000,3214554,3.215,27.5,73.19,16.70,32,0.8683,96,3,0,15,24,22,28,0.8607,86,2,0,31,42,36,9,21,19.0,13,25,28,67.71,41,0,0,40,24.56,28
Virginia Tech,ACC,25.0,30.0,27.5,3,9,2,6,2,0,9.1667,13.75,7.469,-4.469,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $27.5M,Virginia Tech,36,208.77,39,205.58,45,202.61,39,208.19,30,226.24,39.75,206.29,-10.1,105,21.4,30.8,12.7,28,33.1,20.1,-1.216,57,10.265,31,0,0,5,0,0,0,0.01441,69.4,0.1321,Virginia Polytechnic Institute and State University,https://knightnewhousedata.org/fbs/acc/virginia-polytechnic-institute-and-state-university,true,2025,161217688,161.218,156147692,156.148,23716393,23.716,38783486,38.783,48068705,48.069,14961055,14.961,8434834,8.435,15660745,15.661,44460860,44.461,26363505,26.364,25182258,25.182,0,0.000,3384357,3.384,27.5,61.85,17.06,30,0.8583,87,0,0,28,55,31,29,0.8662,88,4,0,27,26,31,16,19,23.0,10,29,28,68.04,23,3,0,27,32.58,29
Vanderbilt,SEC,25.0,28.0,26.5,10,3,6,2,2,0,2.65,13.25,7.316,2.684,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $26.5M,Vanderbilt,32,212.11,52,195.39,40,207.79,76,173.04,33,225.43,50,197.08,20.3,11,39.9,21.4,10.1,35,33.3,23.7,17.048,14,6.821,38,0,0,1,0,1,0,0.05779,17.3,0.1531,Vanderbilt University,https://knightnewhousedata.org/fbs/sec/vanderbilt-university,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.5,,,20,0.8639,57,1,0,70,31,74,18,0.8656,50,2,0,86,30,88,36,52,40.0,26,11,20,68.35,15,1,0,34,27.24,18
Florida State,ACC,23.0,30.0,26.5,5,7,2,6,1,1,5.3,26.5,7.316,-2.316,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $26.5M,Florida State,20,229.46,19,237.15,12,271.76,19,244.11,16,251.54,17.5,245.62,7.2,41,29.3,21.2,7.7,44,29.5,21.5,9.396,31,7.69,36,10,1,2,0,1,0,0.02048,48.82,0.1086,Florida State University,https://knightnewhousedata.org/fbs/acc/florida-state-university,true,2025,211950623,211.951,208187039,208.187,28515039,28.515,55634744,55.635,47668816,47.669,14187618,14.188,33874294,33.874,8630739,8.631,85376878,85.377,31002721,31.003,15000336,15.000,0,0.000,2577842,2.578,26.5,31.04,12.50,22,0.8791,74,8,0,39,9,59,22,0.866,63,3,0,56,27,59,20,34,-1.0,42,-1,23,67.74,37,2,0,28,32.34,23
Georgia Tech,ACC,23.0,26.0,24.5,9,4,6,2,0,2,2.7222,,7.011,1.989,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $24.5M,Georgia Tech,54,184.81,62,185.2,33,214,21,240.77,41,216.7,42.5,206.19,9.3,35,32.5,24.9,2.7,64,26.8,24.6,7.622,38,1.664,57,0,0,2,0,2,1,0.03738,26.75,0.1018,Georgia Institute of Technology,https://knightnewhousedata.org/fbs/acc/georgia-institute-technology,true,2025,156050577,156.051,155972603,155.973,15669503,15.670,38778942,38.779,55170073,55.170,218424,0.218,9551237,9.551,6947958,6.948,39791872,39.792,21785396,21.785,17601705,17.602,0,0.000,2591220,2.591,24.5,61.57,15.70,23,0.8619,68,2,0,44,40,50,19,0.8683,60,3,0,60,25,76,24,36,-3.0,54,-12,20,65.00,16,1,0,35,27.20,19
